_id,id,updated_by,serialnumber,swapcost,observedsoc,setchargingstatus,previous_system,connectedsystem,userid,consumer_swapmetadata.odometer_reading,consumer_swapmetadata.mileage,swapstatus,created_at,blockchain.blockchain_referance_id,blockchain.pda_address,blockchain.blockchain_tx_hash,blockchain.blockchain_tx_status,blockchain.blockchain_sync_at,blockchain.blockchain_error,blockchain.on_chain_metadata,energySessionId,paidamount,requestedamount,updated_at
69f1b13467123cf89c04a3b8,69f1b13467123cf89c04a3b7,69299973a72639f0820f6fc2,test-battery-47,0,0,2,Franchise-1,site-1,69f1a24167123cf89c04a373,0,0,true,2026-04-29T07:20:20.078Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f1b13f67123cf89c04a3ba,69f1b13f67123cf89c04a3b9,69299973a72639f0820f6fc2,test-battery-48,0,0,2,Franchise-1,site-1,69f1a24167123cf89c04a373,0,0,true,2026-04-29T07:20:31.260Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f1b14a67123cf89c04a3bc,69f1b14a67123cf89c04a3bb,69299973a72639f0820f6fc2,test-battery-49,0,0,2,Franchise-1,site-1,69f1a24167123cf89c04a373,0,0,true,2026-04-29T07:20:42.610Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f1b15567123cf89c04a3be,69f1b15567123cf89c04a3bd,69299973a72639f0820f6fc2,test-battery-50,0,0,2,Franchise-1,site-1,69f1a24167123cf89c04a373,0,0,true,2026-04-29T07:20:53.309Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f1b17867123cf89c04a3c4,69f1b17867123cf89c04a3c3,69f1a2cc67123cf89c04a377,test-battery-44,0,0,2,user-4-c,user-7-partner,69f1a2cc67123cf89c04a377,0,0,true,2026-04-29T07:21:28.290Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f1b17867123cf89c04a3c6,69f1b17867123cf89c04a3c5,69f1a2cc67123cf89c04a377,test-battery-14,0,0,0,user-7-partner,user-4-c,69f1a1be67123cf89c04a36f,0,0,true,2026-04-29T07:21:28.568Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f1b1a467123cf89c04a3c8,69f1b1a467123cf89c04a3c7,69f1a2cc67123cf89c04a377,test-battery-43,0,0,2,user-5-c,user-7-partner,69f1a2cc67123cf89c04a377,0,0,true,2026-04-29T07:22:12.845Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f1b1a567123cf89c04a3ca,69f1b1a567123cf89c04a3c9,69f1a2cc67123cf89c04a377,test-battery-41,0,0,0,user-7-partner,user-5-c,69f1a1e667123cf89c04a371,0,0,true,2026-04-29T07:22:13.116Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f1e85067123cf89c04a3d0,69f1e85067123cf89c04a3cf,69f1a2cc67123cf89c04a377,test-battery-43,0,0,2,user-7-partner,SITE_TESTING,69f1a03667123cf89c04a367,0,0,true,2026-04-29T11:15:28.434Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f1e85067123cf89c04a3d2,69f1e85067123cf89c04a3d1,69f1a2cc67123cf89c04a377,test-battery-44,0,0,2,user-7-partner,SITE_TESTING,69f1a03667123cf89c04a367,0,0,true,2026-04-29T11:15:28.909Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f1e85967123cf89c04a3d4,69f1e85967123cf89c04a3d3,69f1a2cc67123cf89c04a377,test-battery-17,0,100,2,site-1,user-7-partner,69f1a2cc67123cf89c04a377,0,0,true,2026-04-29T11:15:37.163Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f1e85967123cf89c04a3d6,69f1e85967123cf89c04a3d5,69f1a2cc67123cf89c04a377,test-battery-3,0,100,2,site-1,user-7-partner,69f1a2cc67123cf89c04a377,0,0,true,2026-04-29T11:15:37.563Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f1e85967123cf89c04a3d8,69f1e85967123cf89c04a3d7,69f1a2cc67123cf89c04a377,test-battery-6,0,100,2,site-1,user-7-partner,69f1a2cc67123cf89c04a377,0,0,true,2026-04-29T11:15:37.936Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f1e8ab67123cf89c04a3da,69f1e8ab67123cf89c04a3d9,69f1a2cc67123cf89c04a377,test-battery-14,0,10,2,user-4-c,user-7-partner,69f1a2cc67123cf89c04a377,0,0,true,2026-04-29T11:16:59.293Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f1e8ab67123cf89c04a3e0,69f1e8ab67123cf89c04a3df,69f1a2cc67123cf89c04a377,test-battery-3,0,100,0,user-7-partner,user-4-c,69f1a1be67123cf89c04a36f,0,0,true,2026-04-29T11:16:59.650Z,,,,false,0001-01-01T00:00:00.000Z,,,69f1e8ab67123cf89c04a3db,0,15,2026-04-29T11:16:59.990Z
69f1fb8567123cf89c04a3eb,69f1fb8567123cf89c04a3ea,69299973a72639f0820f6fc2,test-battery-2,0,6,1,user-1-p,site-1,69f1a24167123cf89c04a373,0,0,true,2026-04-29T12:37:25.041Z,,,,false,0001-01-01T00:00:00.000Z,,,69f1b05267123cf89c04a3ab,,,
69f1fb9667123cf89c04a3ed,69f1fb9667123cf89c04a3ec,69299973a72639f0820f6fc2,test-battery-1,0,100,1,site-1,user-1-p,69f1a03667123cf89c04a367,0,0,true,2026-04-29T12:37:42.864Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f1fcb867123cf89c04a3f0,69f1fcb867123cf89c04a3ef,69299973a72639f0820f6fc2,test-battery-4,0,100,1,site-1,user-1-p,69f1a03667123cf89c04a367,0,0,true,2026-04-29T12:42:32.382Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f1fd6867123cf89c04a3f2,69f1fd6867123cf89c04a3f1,69299973a72639f0820f6fc2,test-battery-8,0,100,1,site-1,user-3-p,69f1a08a67123cf89c04a36b,0,0,true,2026-04-29T12:45:28.112Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f210ac28ef6a37ccc9b325,69f210ac28ef6a37ccc9b324,67b40f1747f62d1e513ca6e6,test-battery-1,0,100,0,user-1-p,user-5-c,69f1a1e667123cf89c04a371,0,0,true,2026-04-29T14:07:40.134Z,,,,false,0001-01-01T00:00:00.000Z,,,69f210ac28ef6a37ccc9b320,,,
69f82f4de5b82c3ac9f0fc9c,69f82f4de5b82c3ac9f0fc9b,69f1a2cc67123cf89c04a377,test-battery-41,0,10,2,user-5-c,user-7-partner,69f1a2cc67123cf89c04a377,0,0,true,2026-05-04T05:31:57.957Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f82f4ee5b82c3ac9f0fca2,69f82f4ee5b82c3ac9f0fca1,69f1a2cc67123cf89c04a377,test-battery-6,0,100,0,user-7-partner,user-5-c,69f1a1e667123cf89c04a371,0,0,true,2026-05-04T05:31:58.309Z,,,,false,0001-01-01T00:00:00.000Z,,,69f82f4ee5b82c3ac9f0fc9d,15,15,2026-05-04T05:31:58.675Z
69f82fb3e5b82c3ac9f0fca8,69f82fb3e5b82c3ac9f0fca7,69f1a2cc67123cf89c04a377,test-battery-14,0,10,1,user-7-partner,SITE_TESTING,69f1a03667123cf89c04a367,0,0,true,2026-05-04T05:33:39.053Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f82fb3e5b82c3ac9f0fcaa,69f82fb3e5b82c3ac9f0fca9,69f1a2cc67123cf89c04a377,test-battery-41,0,10,1,user-7-partner,SITE_TESTING,69f1a03667123cf89c04a367,0,0,true,2026-05-04T05:33:39.548Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f83002e5b82c3ac9f0fcac,69f83002e5b82c3ac9f0fcab,69f1a2cc67123cf89c04a377,test-battery-14,0,10,2,SITE_TESTING,user-7-partner,69f1a2cc67123cf89c04a377,0,0,true,2026-05-04T05:34:58.143Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f83002e5b82c3ac9f0fcae,69f83002e5b82c3ac9f0fcad,69f1a2cc67123cf89c04a377,test-battery-41,0,10,2,SITE_TESTING,user-7-partner,69f1a2cc67123cf89c04a377,0,0,true,2026-05-04T05:34:58.613Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f83003e5b82c3ac9f0fcb0,69f83003e5b82c3ac9f0fcaf,69f1a2cc67123cf89c04a377,test-battery-44,0,0,2,SITE_TESTING,user-7-partner,69f1a2cc67123cf89c04a377,0,0,true,2026-05-04T05:34:59.093Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f83003e5b82c3ac9f0fcb2,69f83003e5b82c3ac9f0fcb1,69f1a2cc67123cf89c04a377,test-battery-43,0,0,2,SITE_TESTING,user-7-partner,69f1a2cc67123cf89c04a377,0,0,true,2026-05-04T05:34:59.548Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f8300ae5b82c3ac9f0fcb4,69f8300ae5b82c3ac9f0fcb3,69f1a2cc67123cf89c04a377,test-battery-14,0,10,2,user-7-partner,site-1,69f1a24167123cf89c04a373,0,0,true,2026-05-04T05:35:06.370Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f8300ae5b82c3ac9f0fcb6,69f8300ae5b82c3ac9f0fcb5,69f1a2cc67123cf89c04a377,test-battery-41,0,10,2,user-7-partner,site-1,69f1a24167123cf89c04a373,0,0,true,2026-05-04T05:35:06.813Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f83026e5b82c3ac9f0fcb8,69f83026e5b82c3ac9f0fcb7,69f1a2cc67123cf89c04a377,test-battery-43,0,0,1,user-7-partner,site-1,69f1a24167123cf89c04a373,0,0,true,2026-05-04T05:35:34.983Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f83027e5b82c3ac9f0fcba,69f83027e5b82c3ac9f0fcb9,69f1a2cc67123cf89c04a377,test-battery-44,0,0,1,user-7-partner,site-1,69f1a24167123cf89c04a373,0,0,true,2026-05-04T05:35:35.418Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f83059e5b82c3ac9f0fcbc,69f83059e5b82c3ac9f0fcbb,69f1a2cc67123cf89c04a377,test-battery-2,0,6,2,site-1,user-7-partner,69f1a2cc67123cf89c04a377,0,0,true,2026-05-04T05:36:25.768Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f83065e5b82c3ac9f0fcbe,69f83065e5b82c3ac9f0fcbd,69f1a2cc67123cf89c04a377,test-battery-2,0,6,1,user-7-partner,site-1,69f1a24167123cf89c04a373,0,0,true,2026-05-04T05:36:37.297Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f831b096a37c6048a27d22,69f831b096a37c6048a27d21,69f1a2cc67123cf89c04a377,test-battery-2,0,6,2,site-1,user-7-partner,69f1a2cc67123cf89c04a377,0,0,true,2026-05-04T05:42:08.743Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f831cb96a37c6048a27d26,69f831cb96a37c6048a27d25,69f1a2cc67123cf89c04a377,test-battery-2,0,6,1,user-7-partner,site-1,69f1a24167123cf89c04a373,0,0,true,2026-05-04T05:42:35.993Z,,,,false,0001-01-01T00:00:00.000Z,,,69f831cb96a37c6048a27d23,,,
69f838f996a37c6048a27d2c,69f838f996a37c6048a27d2b,69f1a2cc67123cf89c04a377,test-battery-2,0,90,2,site-1,user-7-partner,69f1a2cc67123cf89c04a377,0,0,true,2026-05-04T06:13:13.343Z,,,,false,0001-01-01T00:00:00.000Z,,,69f831cb96a37c6048a27d23,,,
